Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202507,0203220001,"Meat; of swine, wild pork, hams, shoulders and cuts thereof, with bone in, frozen",KGM,"1,355",319,0,0,"1,355",319,Provisional
202507,0203220009,"Meat; of swine (other than wild pork), hams, shoulders and cuts thereof, with bone in, frozen",KGM,"76,238","12,713","59,245","6,910","135,483","19,623",Provisional
202507,0203290011,"Meat; of swine n.e.c. in item no. 0203.2, frozen, meat bones and hocks",KGM,0,0,"4,216",582,"4,216",582,Provisional
202507,0203290019,"Meat; of swine n.e.c. in item no. 0203.2, frozen, other than meat bones and hocks",KGM,"353,329","34,068","118,824","13,548","472,153","47,616",Provisional
202507,0204100038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, fresh or chilled",KGM,"15,525","1,025",0,0,"15,525","1,025",Provisional
202507,0204100042,"Meat; of sheep, lamb carcasses and half-carcasses, YX grade, fresh or chilled",KGM,"55,630","3,580",0,0,"55,630","3,580",Provisional
202507,0204220001,"Meat; of sheep, lamb cuts with bone in, fresh or chilled (excluding carcasses and half-carcasses)",KGM,"32,831,569","1,390,886",0,0,"32,831,569","1,390,886",Provisional
202507,0204230001,"Meat; of sheep, boneless cuts of lamb, fresh or chilled",KGM,"20,695,768","788,425",0,0,"20,695,768","788,425",Provisional
202507,0204230009,"Meat; of sheep (excluding lamb), boneless cuts, fresh or chilled",KGM,"14,914",696,0,0,"14,914",696,Provisional
202507,0204300002,"Meat; of sheep, lamb carcasses and half-carcasses, A grade, frozen",KGM,"29,556","2,256",0,0,"29,556","2,256",Provisional
202507,0204300028,"Meat; of sheep, lamb carcasses and half-carcasses, PX grade, frozen",KGM,"52,734","5,450",0,0,"52,734","5,450",Provisional
202507,0204300032,"Meat; of sheep, lamb carcasses and half-carcasses, YL grade, frozen",KGM,"347,631","26,532",0,0,"347,631","26,532",Provisional
202507,0204300038,"Meat; of sheep, lamb carcasses and half-carcasses, YM grade, frozen",KGM,"372,561","29,962",0,0,"372,561","29,962",Provisional
202507,0204300048,"Meat; of sheep, lamb carcasses and half-carcasses n.e.c. in item no. 0204.30, frozen",KGM,"62,487","5,705",0,0,"62,487","5,705",Provisional
202507,0204410022,"Meat; of sheep, mutton carcasses and half-carcasses, MF grade, frozen",KGM,"401,159","66,870",0,0,"401,159","66,870",Provisional
202507,0204410028,"Meat; of sheep, mutton carcasses and half-carcasses, MH grade, frozen",KGM,"377,825","61,421",0,0,"377,825","61,421",Provisional
202507,0204410032,"Meat; of sheep, mutton carcasses and half-carcasses, ML grade, frozen",KGM,"177,454","27,537",0,0,"177,454","27,537",Provisional
