Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Kuwait,"655,621","48,696",0,0,"655,621","48,696",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Malaysia,"22,922",921,0,0,"22,922",921,Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,New Caledonia,"954,295","59,047",0,0,"954,295","59,047",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Netherlands,"760,084","31,729",0,0,"760,084","31,729",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Oman,"794,128","58,559",0,0,"794,128","58,559",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,French Polynesia,"3,179,948","199,621","2,778",203,"3,182,726","199,824",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Qatar,"301,072","22,843",0,0,"301,072","22,843",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Saudi Arabia,"296,291","17,080",0,0,"296,291","17,080",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"2,784,353","130,605",0,0,"2,784,353","130,605",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Thailand,"186,853","4,416",0,0,"186,853","4,416",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Taiwan,"489,727","20,022",0,0,"489,727","20,022",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"10,116,567","473,789",0,0,"10,116,567","473,789",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Viet Nam,"138,030","6,146",0,0,"138,030","6,146",Final,,,
202206,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"284,485","20,077",0,0,"284,485","20,077",Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","722,512","72,008",0,0,"722,512","72,008",Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Fiji,"14,190",539,0,0,"14,190",539,Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"8,321",860,0,0,"8,321",860,Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Jordan,"5,065",155,0,0,"5,065",155,Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Niue,"2,148",330,0,0,"2,148",330,Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"24,046","1,340",0,0,"24,046","1,340",Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"70,786","5,078",0,0,"70,786","5,078",Final,,,
202206,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"35,137","1,481",0,0,"35,137","1,481",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,United Arab Emirates,"24,645",773,0,0,"24,645",773,Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Australia,"35,216","2,203",0,0,"35,216","2,203",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Belgium,"9,388",436,0,0,"9,388",436,Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Bahrain,"44,455","1,389",0,0,"44,455","1,389",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"China, People's Republic of","1,117,204","90,576",0,0,"1,117,204","90,576",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Denmark,"160,337","5,331",0,0,"160,337","5,331",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"12,951",524,0,0,"12,951",524,Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Jordan,"6,015",200,0,0,"6,015",200,Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Japan,"352,582","17,032",0,0,"352,582","17,032",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Kuwait,"38,724","1,308",0,0,"38,724","1,308",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Malaysia,"10,267",404,0,0,"10,267",404,Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,French Polynesia,"162,064","9,436",0,0,"162,064","9,436",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Qatar,"18,006",603,0,0,"18,006",603,Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Saudi Arabia,"43,604","1,379",0,0,"43,604","1,379",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"219,643","8,812",0,0,"219,643","8,812",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"41,703","3,010",0,0,"41,703","3,010",Final,,,
202206,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Viet Nam,"80,011","4,001",0,0,"80,011","4,001",Final,,,
202206,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"China, People's Republic of","9,792","2,355",0,0,"9,792","2,355",Final,,,
202206,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,French Polynesia,"29,057","7,436",0,0,"29,057","7,436",Final,,,
202206,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Fiji,"6,107",329,0,0,"6,107",329,Final,,,
202206,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Indonesia,"15,055","7,994",0,0,"15,055","7,994",Final,,,
202206,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"Korea, Republic of","96,067","12,459",0,0,"96,067","12,459",Final,,,
202206,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Tonga,"2,685",136,0,0,"2,685",136,Final,,,
202206,202200029,"Meat; of bovine animals, beef quarters of cow, G grade, with bone in, frozen",KGM,"Korea, Republic of","197,281","25,350",0,0,"197,281","25,350",Final,,,
202206,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"China, People's Republic of","1,063,402","135,345",0,0,"1,063,402","135,345",Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"7,285",493,0,0,"7,285",493,Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"Samoa, American","91,352","11,932",0,0,"91,352","11,932",Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Australia,"129,433","9,497",0,0,"129,433","9,497",Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Cook Islands,"1,464",64,0,0,"1,464",64,Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,"China, People's Republic of","16,905,700","2,111,393",0,0,"16,905,700","2,111,393",Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Hong Kong (Special Administrative Region),"10,390",497,0,0,"10,390",497,Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Indonesia,"40,388","10,959",0,0,"40,388","10,959",Final,,,
202206,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Jordan,"4,268",199,0,0,"4,268",199,Final,,,
