Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202208,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"3,742",131,0,0,"3,742",131,Final,,,,
202208,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"12,121","1,698",0,0,"12,121","1,698",Final,,,,
202208,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"13,415",748,0,0,"13,415",748,Final,,,,
202208,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"17,635",930,0,0,"17,635",930,Final,,,,
202208,302740015,"Fish; fresh or chilled, eels (Anguilla spp.), headed and gutted",KGM,151,21,0,0,151,21,Final,,,,
202208,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"317,654","24,810",0,0,"317,654","24,810",Final,,,,
202208,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"272,015","24,862",0,0,"272,015","24,862",Final,,,,
202208,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"101,388","9,900",0,0,"101,388","9,900",Final,,,,
202208,302820010,"Fish; fresh or chilled, rays and skates (Rajidae), whole",KGM,"20,727","1,711",0,0,"20,727","1,711",Final,,,,
202208,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,947,159","235,722",0,0,"2,947,159","235,722",Final,,,,
202208,302850019,"Fish; fresh or chilled, seabream (Sparidae), other than snapper, whole",KGM,"28,951","1,809",0,0,"28,951","1,809",Final,,,,
202208,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"365,802","26,365",0,0,"365,802","26,365",Final,,,,
202208,302891015,"Fish; fresh or chilled, groper, whole",KGM,"405,332","23,488",0,0,"405,332","23,488",Final,,,,
202208,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"10,664","1,108",0,0,"10,664","1,108",Final,,,,
202208,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"195,467","15,770",0,0,"195,467","15,770",Final,,,,
202208,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,50,5,0,0,50,5,Final,,,,
202208,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"5,678",376,0,0,"5,678",376,Final,,,,
202208,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"8,247",930,0,0,"8,247",930,Final,,,,
202208,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"66,453","6,780",0,0,"66,453","6,780",Final,,,,
202208,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"17,962","1,449",0,0,"17,962","1,449",Final,,,,
