Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202510,0302891055,"Fish; fresh or chilled, trevally, whole",KGM,"127,327","11,400",0,0,"127,327","11,400",Provisional
202510,0302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"213,842","10,983",0,0,"213,842","10,983",Provisional
202510,0302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"282,783","17,877",0,0,"282,783","17,877",Provisional
202510,0302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"85,473","4,286",0,0,"85,473","4,286",Provisional
202510,0302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"7,437",645,0,0,"7,437",645,Provisional
202510,0302892049,"Fish; fresh or chilled, tarakihi, headed and gutted",KGM,593,26,0,0,593,26,Provisional
202510,0302892059,"Fish; fresh or chilled, yellowtail kingfish, headed and gutted",KGM,"101,540","4,954",0,0,"101,540","4,954",Provisional
202510,0302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"662,987","66,137",0,0,"662,987","66,137",Provisional
202510,0302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"57,704","4,653",0,0,"57,704","4,653",Provisional
202510,0302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"60,870","3,325",0,0,"60,870","3,325",Provisional
202510,0302899017,"Fish; fresh or chilled, gurnard, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,158,21,0,0,158,21,Provisional
202510,0302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,804,63,0,0,804,63,Provisional
202510,0302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,174,15,0,0,174,15,Provisional
202510,0302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"111,726","12,847",0,0,"111,726","12,847",Provisional
202510,0303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"6,447",248,0,0,"6,447",248,Provisional
202510,0303130010,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), whole",KGM,"16,394",432,0,0,"16,394",432,Provisional
202510,0303260029,"Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"323,314","13,389",0,0,"323,314","13,389",Provisional
202510,0303290010,"Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), whole",KGM,"99,850","21,330",0,0,"99,850","21,330",Provisional
202510,0303390002,"Fish; frozen, flounder, whole",KGM,"9,310",720,0,0,"9,310",720,Provisional
202510,0303390012,"Fish; frozen, lemon sole, whole",KGM,"6,963",780,0,0,"6,963",780,Provisional
202510,0303390021,"Fish; frozen, New Zealand sole, whole",KGM,"2,170",240,0,0,"2,170",240,Provisional
