Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202208,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"8,919,593","404,591",0,0,"8,919,593","404,591",Final,,,
202208,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Viet Nam,"146,605","6,458",0,0,"146,605","6,458",Final,,,
202208,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"143,540","10,124",0,0,"143,540","10,124",Final,,,
202208,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","882,151","86,795",0,0,"882,151","86,795",Final,,,
202208,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Niue,"1,235",238,0,0,"1,235",238,Final,,,
202208,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"3,137",95,0,0,"3,137",95,Final,,,
202208,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"73,891","5,088",0,0,"73,891","5,088",Final,,,
202208,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"19,949",899,0,0,"19,949",899,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,United Arab Emirates,"19,313",600,0,0,"19,313",600,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Belgium,"6,688",309,0,0,"6,688",309,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Bahrain,"58,144","1,774",0,0,"58,144","1,774",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"China, People's Republic of","2,408,749","187,129",0,0,"2,408,749","187,129",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Germany,"97,818","3,741",0,0,"97,818","3,741",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Denmark,351,12,0,0,351,12,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"6,623",271,0,0,"6,623",271,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Japan,"571,012","22,837",0,0,"571,012","22,837",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Kuwait,"38,512","1,266",0,0,"38,512","1,266",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Oman,"3,275",184,0,0,"3,275",184,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,French Polynesia,"38,310","2,418",0,0,"38,310","2,418",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Qatar,"15,454",502,0,0,"15,454",502,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Saudi Arabia,"20,907",653,0,0,"20,907",653,Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"224,890","9,100",0,0,"224,890","9,100",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"20,604","1,505",0,0,"20,604","1,505",Final,,,
202208,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Viet Nam,"37,205","1,500",0,0,"37,205","1,500",Final,,,
202208,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"China, People's Republic of","1,605,304","414,379",0,0,"1,605,304","414,379",Final,,,
202208,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,Samoa,"16,630","7,559",0,0,"16,630","7,559",Final,,,
202208,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"China, People's Republic of","424,809","104,443",0,0,"424,809","104,443",Final,,,
