Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202307,2206003209,"Beverages, fermented; (other than fruit or vegetable wine), containing not more than 1.15% vol., other than sparkling",LTR,328,45,0,0,328,45,Provisional
202307,2206003709,"Beverages, fermented; (other than fruit or vegetable wine), containing more than 1.15% vol., but not more than 2.5% vol., not for further manufacture, other than sparkling",LTR,494,18,0,0,494,18,Provisional
202307,2206004301,"Beverages, fermented; (other than fruit or vegetable wine), containing more than 2.5% vol., but not more than 6% vol., for further manufacture, sparkling",LPA,743,888,0,0,743,888,Provisional
202307,2206004701,"Beverages, fermented; (other than fruit or vegetable wine), containing more than 2.5% vol., but not more than 6% vol., (not for further manufacture), sparkling",LPA,"86,194","2,047",278,1,"86,472","2,048",Provisional
202307,2206004709,"Beverages, fermented; (other than fruit or vegetable wine), containing more than 2.5% vol., but not more than 6% vol., not for further manufacture, other than sparkling",LPA,"461,521","6,856",0,0,"461,521","6,856",Provisional
202307,2206005701,"Beverages, fermented; (other than fruit or vegetable wine), containing more than 6% vol., but not more than 9% vol., (not for further manufacture), sparkling",LTR,"1,397",375,0,0,"1,397",375,Provisional
202307,2207102100,"Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher, (other than rectified spirits of wine), for further manufacture",LPA,"4,100",500,0,0,"4,100",500,Provisional
202307,2208200401,"Spirits, brandy; having a customs value of less than $22 per litre, (not for further manufacture), in containers of less than 180 litres, in bottles",LPA,0,0,454,9,454,9,Provisional
202307,2208200801,"Spirits, brandy; having a customs value of $22 per litre or more, (not for further manufacture), in containers of less than 180 litres, in bottles",LPA,"9,656",10,192,5,"9,848",15,Provisional
202307,2208201901,"Spirits; obtained by distilling grape wine or marc, (not brandy) strength ascertained by OIML hydrometer, in bottles of less than 180 litres capacity, not for further manufacture",LPA,0,0,"10,553",28,"10,553",28,Provisional
202307,2208300201,"Spirits, whiskies; having a customs value of less than $22 per litre, for further manufacture, in containers of less than 180 litres, in bottles",LPA,227,8,"7,332",215,"7,559",223,Provisional
202307,2208300401,"Spirits, whiskies; having a customs value of less than $22 per litre, (not for further manufacture), in containers of less than 180 litres, in bottles",LPA,"237,665","2,311","10,254",180,"247,919","2,491",Provisional
202307,2208300419,"Spirits, whiskies; having a customs value of less than $22 per litre, (not for further manufacture), in containers of 180 litres or more",LPA,"3,204",92,"3,338",23,"6,542",115,Provisional
202307,2208300601,"Spirits, whiskies; having a customs value of $22 per litre or more, for further manufacture, in containers of less than 180 litres, in bottles",LPA,"32,126",278,0,0,"32,126",278,Provisional
202307,2208300801,"Spirits, whiskies; having a customs value of $22 per litre or more, (not for further manufacture), in containers of less than 180 litres, in bottles",LPA,"114,763","1,261","17,135",327,"131,898","1,588",Provisional
202307,2208301101,"Whiskies; not exceeding 57% vol., in containers of less than 180 litres capacity, for further manufacture",LPA,0,0,640,0,640,0,Provisional
202307,2208301901,"Whiskies; not exceeding 57% vol., in containers of less than 180 litres capacity, not for further manufacture",LPA,"180,363","1,222","82,207","1,269","262,570","2,491",Provisional
202307,2208301911,"Whiskies; exceeding 57% vol., in containers of less than 180 litres capacity, not for further manufacture",LPA,0,0,"2,343",3,"2,343",3,Provisional
202307,2208301919,"Whiskies; exceeding 57% vol., in containers of 180 litres or more capacity, not for further manufacture",LPA,0,0,"54,892","2,655","54,892","2,655",Provisional
202307,2208400401,"Rum and other spirits obtained by distilling fermented sugar-cane products; having a customs value of less than $22 per litre, (not for further manufacture), in containers of less than 180 litres, in bottles",LPA,"8,803",410,"2,390",41,"11,193",450,Provisional
