Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202207,302470029,"Fish; fresh or chilled, swordfish (Xiphias gladius), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,174",423,0,0,"3,174",423,Final,,,,
202207,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"26,938","1,373",0,0,"26,938","1,373",Final,,,,
202207,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"33,985","4,650",0,0,"33,985","4,650",Final,,,,
202207,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"2,248",83,0,0,"2,248",83,Final,,,,
202207,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"4,506",697,0,0,"4,506",697,Final,,,,
202207,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"24,141","1,055",0,0,"24,141","1,055",Final,,,,
202207,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"10,033",510,0,0,"10,033",510,Final,,,,
202207,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"4,193",150,0,0,"4,193",150,Final,,,,
202207,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"167,181","17,120",0,0,"167,181","17,120",Final,,,,
202207,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"138,690","16,587",0,0,"138,690","16,587",Final,,,,
202207,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"47,067","5,715",0,0,"47,067","5,715",Final,,,,
202207,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,368,324","189,005",0,0,"2,368,324","189,005",Final,,,,
202207,302850019,"Fish; fresh or chilled, seabream (Sparidae), other than snapper, whole",KGM,"24,377","1,797",0,0,"24,377","1,797",Final,,,,
202207,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"4,194",456,0,0,"4,194",456,Final,,,,
202207,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"258,590","18,110",0,0,"258,590","18,110",Final,,,,
202207,302891015,"Fish; fresh or chilled, groper, whole",KGM,"262,897","14,654",0,0,"262,897","14,654",Final,,,,
202207,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"15,896","1,497",0,0,"15,896","1,497",Final,,,,
202207,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"156,540","11,733",0,0,"156,540","11,733",Final,,,,
202207,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"4,168",276,0,0,"4,168",276,Final,,,,
202207,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"10,937","1,184",0,0,"10,937","1,184",Final,,,,
202207,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"54,046","5,572",0,0,"54,046","5,572",Final,,,,
202207,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"30,665","2,171",0,0,"30,665","2,171",Final,,,,
202207,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"282,416","20,417",0,0,"282,416","20,417",Final,,,,
202207,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"42,297","2,490",0,0,"42,297","2,490",Final,,,,
202207,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"43,544","2,586",0,0,"43,544","2,586",Final,,,,
202207,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"174,016","16,068",0,0,"174,016","16,068",Final,,,,
202207,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"37,636","2,558",0,0,"37,636","2,558",Final,,,,
202207,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"294,566","22,316",0,0,"294,566","22,316",Final,,,,
202207,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"532,585","44,296",0,0,"532,585","44,296",Final,,,,
202207,302910019,"Fish; fresh or chilled, livers, roes and milt, n.e.c. in item 0302.91",KGM,"94,624","14,144",0,0,"94,624","14,144",Final,,,,
202207,303130010,"Fish; frozen, Atlantic salmon (Salmo salar) and Danube salmon (Hucho hucho), whole",KGM,"17,066",670,0,0,"17,066",670,Final,,,,
202207,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"4,422",185,0,0,"4,422",185,Final,,,,
202207,303260010,"Fish; frozen, eels (Anguilla spp.), whole",KGM,"188,885","22,800",0,0,"188,885","22,800",Final,,,,
202207,303260015,"Fish; frozen, eels (Anguilla spp.), headed and gutted",KGM,"346,027","28,916",0,0,"346,027","28,916",Final,,,,
202207,303330029,"Fish; frozen, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,593,150,0,0,593,150,Final,,,,
202207,303390002,"Fish; frozen, flounder, whole",KGM,"1,574",140,0,0,"1,574",140,Final,,,,
202207,303390012,"Fish; frozen, lemon sole, whole",KGM,"143,188","22,030",0,0,"143,188","22,030",Final,,,,
202207,303390021,"Fish; frozen, New Zealand sole, whole",KGM,"43,405","7,140",0,0,"43,405","7,140",Final,,,,
202207,303390028,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, whole",KGM,"9,037",870,0,0,"9,037",870,Final,,,,
202207,303390051,"Fish; frozen, New Zealand sole, headed and gutted",KGM,"1,663",250,0,0,"1,663",250,Final,,,,
202207,303390072,"Fish; frozen, lemon sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"25,186","3,870",0,0,"25,186","3,870",Final,,,,
202207,303390082,"Fish; frozen, New Zealand sole, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"61,844","10,750",0,0,"61,844","10,750",Final,,,,
202207,303390097,"Fish; frozen, flat fish, n.e.c. in item no. 0303.3, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"4,206","2,000",0,0,"4,206","2,000",Final,,,,
202207,303410001,"Fish; frozen, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"436,568","69,984",0,0,"436,568","69,984",Final,,,,
202207,303530010,"Fish; frozen, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), whole",KGM,"30,987","12,095",0,0,"30,987","12,095",Final,,,,
