Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202201,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"606,244","33,890",0,0,"606,244","33,890",Final,,,,
202201,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,274,256","67,603",0,0,"1,274,256","67,603",Final,,,,
202201,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"2,710",345,0,0,"2,710",345,Final,,,,
202201,302240015,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), headed and gutted",KGM,"2,731",242,0,0,"2,731",242,Final,,,,
202201,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,502,42,0,0,502,42,Final,,,,
202201,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"84,939","8,657",0,0,"84,939","8,657",Final,,,,
202201,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"6,873",964,0,0,"6,873",964,Final,,,,
202201,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"60,465","3,385",0,0,"60,465","3,385",Final,,,,
202201,302320001,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), whole",KGM,"1,010",91,0,0,"1,010",91,Final,,,,
202201,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"24,199",991,0,0,"24,199",991,Final,,,,
