Month,Harmonised System Code,Harmonised System Description,Unit Qty,Country,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Japan,"10,626,519","684,860",0,0,"10,626,519","684,860",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Kuwait,"623,335","44,707",0,0,"623,335","44,707",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Malaysia,"20,423","1,052",0,0,"20,423","1,052",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,New Caledonia,"1,054,587","63,298",0,0,"1,054,587","63,298",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Netherlands,"982,002","38,659",0,0,"982,002","38,659",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Oman,"619,249","46,101",0,0,"619,249","46,101",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,French Polynesia,"2,567,225","148,195","3,045",144,"2,570,270","148,339",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Qatar,"708,087","44,398",0,0,"708,087","44,398",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Saudi Arabia,"676,256","43,364",0,0,"676,256","43,364",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"2,333,512","115,722",0,0,"2,333,512","115,722",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Thailand,"129,359","2,730",0,0,"129,359","2,730",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Tonga,"20,214",952,0,0,"20,214",952,Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Taiwan,"1,393,304","65,089",0,0,"1,393,304","65,089",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"8,280,252","423,889",0,0,"8,280,252","423,889",Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Viet Nam,"15,079",278,0,0,"15,079",278,Provisional,,,
202212,201300001,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"177,103","12,316",0,0,"177,103","12,316",Provisional,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Cook Islands,"24,778","1,092",0,0,"24,778","1,092",Provisional,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,"China, People's Republic of","843,223","93,909",0,0,"843,223","93,909",Provisional,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"7,449",710,0,0,"7,449",710,Provisional,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Niue,"1,235",238,0,0,"1,235",238,Provisional,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Singapore,"69,807","3,779",0,0,"69,807","3,779",Provisional,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,United States of America,"69,941","4,562",0,0,"69,941","4,562",Provisional,,,
202212,201300009,"Meat; of bovine animals, beef cuts other than according to the NZ Meat Producers' Board definition, of cow, steer and heifer, boneless, fresh or chilled",KGM,Wallis and Futuna,"16,289",734,0,0,"16,289",734,Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Australia,"187,653","5,899",0,0,"187,653","5,899",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Belgium,"10,237",379,0,0,"10,237",379,Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Bahrain,"35,086","1,124",0,0,"35,086","1,124",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,"China, People's Republic of","2,446,383","211,341",0,0,"2,446,383","211,341",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Germany,"99,820","3,295",0,0,"99,820","3,295",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Denmark,"39,754","1,303",0,0,"39,754","1,303",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Hong Kong (Special Administrative Region),"29,845","1,137",0,0,"29,845","1,137",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Jordan,"7,944",259,0,0,"7,944",259,Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Japan,"366,919","17,538",0,0,"366,919","17,538",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Kuwait,"19,085",649,0,0,"19,085",649,Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Oman,"9,443",725,0,0,"9,443",725,Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,French Polynesia,"161,946","8,288",0,0,"161,946","8,288",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Qatar,"5,814",198,0,0,"5,814",198,Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Saudi Arabia,"22,085",719,0,0,"22,085",719,Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Singapore,"217,043","7,546",0,0,"217,043","7,546",Provisional,,,
202212,201300011,"Meat; of bovine animals, boneless cuts of bull, fresh or chilled",KGM,Taiwan,"110,362","5,819",0,0,"110,362","5,819",Provisional,,,
202212,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,"China, People's Republic of","85,607","22,147",0,0,"85,607","22,147",Provisional,,,
202212,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,Jordan,"116,293","26,500",0,0,"116,293","26,500",Provisional,,,
202212,202100001,"Meat; of bovine animals, carcasses, frozen",KGM,French Polynesia,"137,577","25,305",0,0,"137,577","25,305",Provisional,,,
202212,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Barbados,"1,596",478,0,0,"1,596",478,Provisional,,,
202212,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"China, People's Republic of","102,192","3,692",0,0,"102,192","3,692",Provisional,,,
202212,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,Fiji,"1,330",61,0,0,"1,330",61,Provisional,,,
202212,202200001,"Meat; of bovine animals, beef quarters of steer and heifer, P1 grade, with bone in, frozen",KGM,"Korea, Republic of","57,556","4,497",0,0,"57,556","4,497",Provisional,,,
202212,202200039,"Meat; of bovine animals (excluding steer, heifer, cow and bull), beef quarters, with bone in, frozen",KGM,"China, People's Republic of","904,989","168,761",0,0,"904,989","168,761",Provisional,,,
202212,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,United Arab Emirates,"6,204",421,0,0,"6,204",421,Provisional,,,
202212,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Barbados,"6,561",595,0,0,"6,561",595,Provisional,,,
202212,202200041,"Meat; of bovine animals, beef cuts according to the NZ Meat Producers' Board definition, of cow, steer and heifer, with bone in, frozen (excluding carcasses, half-carcasses and quarters)",KGM,Bahrain,"17,345","1,011",0,0,"17,345","1,011",Provisional,,,
