Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201907,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"320,714","102,185",0,0,"320,714","102,185",Final,,,,
201907,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"245,604","25,425",0,0,"245,604","25,425",Final,,,,
201907,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"3,323,865","864,690",0,0,"3,323,865","864,690",Final,,,,
201907,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,526,232,0,0,526,232,Final,,,,
201907,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"25,507","3,555",0,0,"25,507","3,555",Final,,,,
201907,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"6,635",273,0,0,"6,635",273,Final,,,,
201907,207609010,"Meat and edible offal; of guinea fowls, not cut in pieces, excluding fatty livers, fresh or chilled",KGM,617,12,0,0,617,12,Final,,,,
201907,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"179,037","20,004",0,0,"179,037","20,004",Final,,,,
201907,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,860,954","68,980",0,0,"1,860,954","68,980",Final,,,,
201907,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"13,283,402","935,101",0,0,"13,283,402","935,101",Final,,,,
201907,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"5,337",649,"7,048","1,076","12,385","1,725",Final,,,,
201907,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"120,209","13,193",0,0,"120,209","13,193",Final,,,,
201907,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"56,012","11,742",0,0,"56,012","11,742",Final,,,,
201907,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"771,938","2,019",0,0,"771,938","2,019",Final,,,,
201907,301920000,"Fish; live, eels (anguilla spp.)",KGM,"61,766","3,558",0,0,"61,766","3,558",Final,,,,
201907,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,129,754","240,821",0,0,"5,129,754","240,821",Final,,,,
201907,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"509,666","22,683",0,0,"509,666","22,683",Final,,,,
201907,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"775,502","44,197",0,0,"775,502","44,197",Final,,,,
201907,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"9,900","1,256",0,0,"9,900","1,256",Final,,,,
201907,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"8,697","1,269",0,0,"8,697","1,269",Final,,,,
201907,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"191,206","20,167",0,0,"191,206","20,167",Final,,,,
201907,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"1,636",168,0,0,"1,636",168,Final,,,,
201907,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,459,63,0,0,459,63,Final,,,,
201907,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"7,132",837,0,0,"7,132",837,Final,,,,
201907,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,513,72,0,0,513,72,Final,,,,
201907,302290041,"Fish; fresh or chilled, lemon sole, headed and gutted",KGM,65,4,0,0,65,4,Final,,,,
201907,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"83,206","8,075",0,0,"83,206","8,075",Final,,,,
201907,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,055",89,0,0,"1,055",89,Final,,,,
201907,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"1,539",208,0,0,"1,539",208,Final,,,,
201907,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"5,119",470,0,0,"5,119",470,Final,,,,
201907,302340029,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,412,6,0,0,412,6,Final,,,,
201907,302350031,"Fish; fresh or chilled, Atlantic bluefin tunas (Thunnus thynnus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,609",138,0,0,"1,609",138,Final,,,,
201907,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"73,565","4,986",0,0,"73,565","4,986",Final,,,,
201907,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"10,693",917,0,0,"10,693",917,Final,,,,
201907,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"2,787,390","185,165",0,0,"2,787,390","185,165",Final,,,,
201907,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,"1,631,910","145,992",0,0,"1,631,910","145,992",Final,,,,
201907,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,"2,191",196,0,0,"2,191",196,Final,,,,
201907,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"331,040","27,099",0,0,"331,040","27,099",Final,,,,
201907,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,766,59,0,0,766,59,Final,,,,
201907,302510015,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), headed and gutted",KGM,"20,189","1,386",0,0,"20,189","1,386",Final,,,,
201907,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"29,881","4,722",0,0,"29,881","4,722",Final,,,,
201907,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"4,221",249,0,0,"4,221",249,Final,,,,
201907,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"4,824",641,0,0,"4,824",641,Final,,,,
201907,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"13,509",923,0,0,"13,509",923,Final,,,,
201907,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"10,009",585,0,0,"10,009",585,Final,,,,
201907,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,767",172,0,0,"2,767",172,Final,,,,
201907,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"69,600","7,842",0,0,"69,600","7,842",Final,,,,
201907,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"138,062","19,781",0,0,"138,062","19,781",Final,,,,
201907,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"40,481","4,289",0,0,"40,481","4,289",Final,,,,
201907,302820029,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,71,5,0,0,71,5,Final,,,,
201907,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,336,412","221,420",0,0,"2,336,412","221,420",Final,,,,
201907,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,260,10,0,0,260,10,Final,,,,
201907,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"224,737","20,438",0,0,"224,737","20,438",Final,,,,
201907,302891015,"Fish; fresh or chilled, groper, whole",KGM,"435,508","30,242",0,0,"435,508","30,242",Final,,,,
201907,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"20,477","2,018",0,0,"20,477","2,018",Final,,,,
201907,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"151,484","12,712",0,0,"151,484","12,712",Final,,,,
201907,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,146,10,0,0,146,10,Final,,,,
201907,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"9,611","1,068",0,0,"9,611","1,068",Final,,,,
