Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201906,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,050,770","188,579",0,0,"2,050,770","188,579",Final,,,,
201906,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"5,362",296,0,0,"5,362",296,Final,,,,
201906,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"129,945","11,009",0,0,"129,945","11,009",Final,,,,
201906,302891015,"Fish; fresh or chilled, groper, whole",KGM,"238,725","16,433",0,0,"238,725","16,433",Final,,,,
201906,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"22,015","2,210",0,0,"22,015","2,210",Final,,,,
201906,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"120,382","10,004",0,0,"120,382","10,004",Final,,,,
201906,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,"1,042",72,0,0,"1,042",72,Final,,,,
201906,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"4,164",456,0,0,"4,164",456,Final,,,,
201906,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"13,363","1,478",0,0,"13,363","1,478",Final,,,,
201906,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"42,193","5,168",0,0,"42,193","5,168",Final,,,,
201906,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"32,242","2,483",0,0,"32,242","2,483",Final,,,,
201906,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"223,029","18,306",0,0,"223,029","18,306",Final,,,,
201906,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"2,333",131,0,0,"2,333",131,Final,,,,
201906,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"106,285","8,025",0,0,"106,285","8,025",Final,,,,
201906,302892029,"Fish; fresh or chilled, leatherjacket, headed and gutted",KGM,119,20,0,0,119,20,Final,,,,
