Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202303,206100029,"Offal, edible; of bovine animals, tongues, fresh or chilled",KGM,"150,990","8,359",0,0,"150,990","8,359",Provisional,,,,
202303,206100039,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.10, fresh or chilled",KGM,"489,624","35,400",0,0,"489,624","35,400",Provisional,,,,
202303,206210000,"Offal, edible; of bovine animals, tongues, frozen",KGM,"4,341,264","634,635",0,0,"4,341,264","634,635",Provisional,,,,
202303,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"1,589,669","705,500",0,0,"1,589,669","705,500",Provisional,,,,
202303,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"1,516,056","458,490",0,0,"1,516,056","458,490",Provisional,,,,
202303,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"249,097","97,959",0,0,"249,097","97,959",Provisional,,,,
202303,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"16,674,546","1,922,529",0,0,"16,674,546","1,922,529",Provisional,,,,
202303,206300029,"Offal, edible; of swine, n.e.c. in item no. 0206.30, fresh or chilled",KGM,"61,928","25,000",0,0,"61,928","25,000",Provisional,,,,
202303,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"597,873","104,481",0,0,"597,873","104,481",Provisional,,,,
202303,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,495,635","202,250",0,0,"1,495,635","202,250",Provisional,,,,
202303,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,378,692","542,448",0,0,"1,378,692","542,448",Provisional,,,,
202303,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"154,492","14,311",0,0,"154,492","14,311",Provisional,,,,
202303,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"131,910","11,445",0,0,"131,910","11,445",Provisional,,,,
202303,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,254,791","299,932",0,0,"2,254,791","299,932",Provisional,,,,
202303,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"377,494","56,617",0,0,"377,494","56,617",Provisional,,,,
202303,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"1,146,610","357,871",0,0,"1,146,610","357,871",Provisional,,,,
202303,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"503,961","65,698",0,0,"503,961","65,698",Provisional,,,,
202303,206900091,"Offal, edible; of goats, horses, asses, mules or hinnies, livers, frozen",KGM,"340,613","77,272",0,0,"340,613","77,272",Provisional,,,,
202303,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"11,761","3,798",0,0,"11,761","3,798",Provisional,,,,
202303,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"36,622","2,073",0,0,"36,622","2,073",Provisional,,,,
202303,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"675,053","132,315",0,0,"675,053","132,315",Provisional,,,,
202303,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"482,437","37,441",0,0,"482,437","37,441",Provisional,,,,
202303,207141000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, livers",KGM,397,150,0,0,397,150,Provisional,,,,
202303,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"2,033,418","512,844",0,0,"2,033,418","512,844",Provisional,,,,
202303,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"1,496",103,0,0,"1,496",103,Provisional,,,,
202303,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"164,225","19,052",0,0,"164,225","19,052",Provisional,,,,
202303,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"1,923",62,"2,499",77,"4,422",139,Provisional,,,,
202303,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"1,580,656","17,114",0,0,"1,580,656","17,114",Provisional,,,,
202303,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"2,423,116","9,971",0,0,"2,423,116","9,971",Provisional,,,,
202303,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"526,009","33,628",0,0,"526,009","33,628",Provisional,,,,
202303,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"1,856,168","58,771",0,0,"1,856,168","58,771",Provisional,,,,
202303,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"22,222,086","1,558,489",0,0,"22,222,086","1,558,489",Provisional,,,,
202303,208900028,"Meat and edible meat offal; partridges, pheasants, wild ducks and other birds n.e.c. in heading no. 0207, fresh, chilled or frozen",KGM,"1,399",56,0,0,"1,399",56,Provisional,,,,
202303,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,887,48,"35,397","2,668","36,284","2,716",Provisional,,,,
202303,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"33,838","3,184","84,393","7,017","118,231","10,201",Provisional,,,,
202303,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"71,217","5,764",0,0,"71,217","5,764",Provisional,,,,
