Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201902,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,313,24,0,0,313,24,Final,,,,
201902,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"6,976",729,0,0,"6,976",729,Final,,,,
201902,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"11,766","1,352",0,0,"11,766","1,352",Final,,,,
201902,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"61,049","8,552",0,0,"61,049","8,552",Final,,,,
201902,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"8,561",647,0,0,"8,561",647,Final,,,,
201902,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"223,163","17,713",0,0,"223,163","17,713",Final,,,,
201902,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"78,242","6,292",0,0,"78,242","6,292",Final,,,,
201902,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"79,514","5,058",0,0,"79,514","5,058",Final,,,,
201902,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"22,585","4,952",0,0,"22,585","4,952",Final,,,,
201902,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"51,147","7,331",0,0,"51,147","7,331",Final,,,,
201902,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"26,401","1,750",0,0,"26,401","1,750",Final,,,,
201902,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"54,761","3,980",0,0,"54,761","3,980",Final,,,,
201902,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,330",120,0,0,"1,330",120,Final,,,,
201902,302899027,"Fish; fresh or chilled, monkfish, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,386,25,0,0,386,25,Final,,,,
201902,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"426,279","46,485",0,0,"426,279","46,485",Final,,,,
201902,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,99,1,0,0,99,1,Final,,,,
201902,302910019,"Fish; fresh or chilled, livers, roes and milt, n.e.c. in item 0302.91",KGM,704,65,0,0,704,65,Final,,,,
201902,302990000,"Fish; fresh or chilled, fish fins (other than shark fins), heads, tails, maws and other edible fish offal",KGM,"1,371",55,0,0,"1,371",55,Final,,,,
201902,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"785,630","45,850",0,0,"785,630","45,850",Final,,,,
