Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202506,7007190000,"Glass; safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)",MTK,"387,691",166,113,1,"387,804",167,Final
202506,7007210901,"Glass; safety glass, laminated, for incorporation in motor vehicles, other than as may be determined by the minister",NMB,0,0,"5,829",17,"5,829",17,Final
202506,7007290000,"Glass; safety glass, laminated, (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)",MTK,"113,597",48,"1,770",6,"115,367",54,Final
202506,7008000010,Glass; multiple-walled insulating units of glass; including at least one panel of toughened (tempered) or laminated safety glass; not exceeding 2m2,MTK,"4,902",600,0,0,"4,902",600,Final
202506,7009100900,"Glass mirrors; rear-view mirrors for vehicles, exterior type, other than as may be determined by the minister",,0,,"2,360",,"2,360",,Final
202506,7009101900,"Glass mirrors; rear-view mirrors for vehicles, other than exterior type",,"6,452",,435,,"6,887",,Final
202506,7009910000,"Glass mirrors; unframed, excluding rear-view mirrors for vehicles",,"72,890",,306,,"73,196",,Final
202506,7009920000,"Glass mirrors; framed, excluding rear-view mirrors for vehicles",,"105,635",,"3,101",,"108,736",,Final
202506,7010200000,"Glass; stoppers, lids and other closures",CEN,625,0,152,0,777,0,Final
202506,7010901800,"Glass; carboys, bottles, flasks, jars, pots, phials and other containers of glass, (not ampoules or preserving jars), of a kind used for the conveyance or packing of goods, of a capacity exceeding 1 litre (1000 ml )",CEN,"6,110",2,208,0,"6,318",2,Final
202506,7010902100,"Glass; preserving jars, used for the conveyance or packing of goods, of a capacity exceeding 0.33 litre (330 ml) but not exceeding 1 litre (1000 ml)",,0,,60,,60,,Final
202506,7010902500,"Glass; carboys, bottles, flasks, jars, pots, phials and other containers of glass, (not ampoules or preserving jars), used for the conveyance or packing of goods, of a capacity exceeding 0.33 litre (330 ml), but less than 500ml",CEN,"194,995","3,882",0,0,"194,995","3,882",Final
