Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202302,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,809,464","219,555",0,0,"2,809,464","219,555",Final,,,,
202302,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,351,49,0,0,351,49,Final,,,,
202302,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"262,977","15,284",0,0,"262,977","15,284",Final,,,,
202302,302891015,"Fish; fresh or chilled, groper, whole",KGM,"195,367","10,371",0,0,"195,367","10,371",Final,,,,
202302,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"9,122","1,063",0,0,"9,122","1,063",Final,,,,
202302,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"342,286","27,087",0,0,"342,286","27,087",Final,,,,
202302,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"5,871",403,0,0,"5,871",403,Final,,,,
202302,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"5,488",572,0,0,"5,488",572,Final,,,,
202302,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"49,546","5,415",0,0,"49,546","5,415",Final,,,,
202302,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"16,185","1,133",0,0,"16,185","1,133",Final,,,,
202302,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"177,121","11,770",0,0,"177,121","11,770",Final,,,,
202302,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"49,829","3,279",0,0,"49,829","3,279",Final,,,,
202302,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"33,516","2,656",0,0,"33,516","2,656",Final,,,,
202302,302892059,"Fish; fresh or chilled, yellowtail kingfish, headed and gutted",KGM,"5,830",295,0,0,"5,830",295,Final,,,,
