Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status
202306,6111902289,"Babies' garments and clothing accessories; n.e.c. in 6111.90, of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted",NMB,0,0,"6,628",331,"6,628",331,Provisional
202306,6112190209,"Track suits; of textile materials (other than cotton or synthetic fibres), knitted or crocheted, women's and girls'",NMB,374,1,0,0,374,1,Provisional
202306,6112310200,"Swimwear; men's or boys', of synthetic fibres, knitted or crocheted",NMB,0,0,"2,173",59,"2,173",59,Provisional
202306,6112410200,"Swimwear; women's or girls', of synthetic fibres, knitted or crocheted",NMB,0,0,"5,271",127,"5,271",127,Provisional
202306,6112490200,"Swimwear; women's or girls', of textile materials (other than synthetic fibres), knitted or crocheted",NMB,0,0,232,5,232,5,Provisional
202306,6113000010,"Garments; made up of knitted or crocheted rubberised fabrics, other than pilches",,641,,0,,641,,Provisional
202306,6113000029,"Garments; made up of knitted or crocheted fabrics, other than rubberised",NMB,"2,950",19,105,1,"3,055",20,Provisional
202306,6114200200,"Garments; of cotton, knitted or crocheted, n.e.c. in chapter 61",NMB,"2,106",7,"34,713","1,086","36,819","1,093",Provisional
202306,6114300200,"Garments; of man-made fibres, knitted or crocheted, n.e.c. in chapter 61",NMB,"18,681",288,"77,098",964,"95,779","1,252",Provisional
202306,6114900210,"Garments; of wool or fine animal hair, knitted or crocheted, n.e.c. in chapter 61",NMB,"209,604","2,193","9,992",377,"219,596","2,570",Provisional
202306,6114900219,"Garments; of textile materials (other than wool or fine animal hair, cotton or man-made fibres), knitted or crocheted, n.e.c. in chapter 61",NMB,"12,436",201,"35,515",950,"47,951","1,151",Provisional
202306,6115100100,"Hosiery; graduated compression hosiery, panty hose and tights, knitted or crocheted",NMB,0,0,"4,809",133,"4,809",133,Provisional
202306,6115105915,"Hosiery; graduated compression hosiery, women's and girls', of cotton, knitted or crocheted (excluding panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)",NPR,0,0,"1,122",300,"1,122",300,Provisional
202306,6115106910,"Hosiery; graduated compression hosiery, men's and boys', half and three-quarter socks, of wool or fine animal hair, knitted or crocheted",NPR,6,62,0,0,6,62,Provisional
202306,6115107919,"Hosiery; graduated compression hosiery, men's and boys', (other than half and three-quarter socks), of synthetic fibres, knitted or crocheted",NPR,0,0,"1,119",72,"1,119",72,Provisional
202306,6115210000,"Hosiery; panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn less than 67 decitex, knitted or crocheted",NMB,"9,899","1,742","6,460",123,"16,359","1,865",Provisional
202306,6115220000,"Hosiery; panty hose and tights (other than graduated compression hosiery), of synthetic fibres, measuring per single yarn 67 decitex or more, knitted or crocheted",NMB,"4,089",968,"2,861","1,186","6,950","2,154",Provisional
202306,6115290000,"Hosiery; panty hose and tights (other than graduated compression hosiery), of textile materials (other than synthetic fibres), knitted or crocheted",NMB,"9,764",715,"1,734",219,"11,498",934,Provisional
202306,6115302900,"Hosiery; women's knee-length hosiery (other than graduated compression hosiery), measuring per single yarn less than 67 decitex, knitted or crocheted",NPR,"6,829","8,562",0,0,"6,829","8,562",Provisional
202306,6115940100,"Hosiery; footwear without applied soles (other than of graduated compression type), of wool or fine animal hair, knitted or crocheted",NPR,"2,808",100,411,15,"3,219",115,Provisional
202306,6115940900,"Hosiery; women's and girls', of wool or fine animal hair, knitted or crocheted (excluding graduated compression hosiery, footwear without applied soles, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)",NPR,"87,174","5,013","23,680","2,798","110,854","7,811",Provisional
202306,6115941900,"Hosiery; men's and boys', half and three-quarter socks (other than graduated compression type), of wool or fine animal hair, knitted or crocheted",NPR,"93,808","3,533",0,0,"93,808","3,533",Provisional
202306,6115942900,"Hosiery; men's and boys', of wool or fine animal hair, knitted or crocheted, (excluding half and three-quarter socks, footwear without applied soles or graduated compression hosiery)",NPR,139,2,"28,939","3,345","29,078","3,347",Provisional
202306,6115950100,"Hosiery; footwear without applied soles (other than of graduated compression type), of cotton, knitted or crocheted",NPR,0,0,105,5,105,5,Provisional
202306,6115950900,"Hosiery; women's and girls', of cotton, knitted or crocheted (excluding graduated compression hosiery, footwear without applied soles, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)",NPR,"20,274","2,679",36,2,"20,310","2,681",Provisional
202306,6115951900,"Hosiery; men's and boys', half and three-quarter socks (other than graduated compression type), of cotton, knitted or crocheted",NPR,"36,231","3,534","2,844",589,"39,075","4,123",Provisional
202306,6115952900,"Hosiery; men's and boys', of cotton, knitted or crocheted, (excluding half and three-quarter socks, footwear without applied soles or graduated compression hosiery)",NPR,"9,201","2,511",205,6,"9,406","2,517",Provisional
202306,6115960100,"Hosiery; footwear without applied soles (other than graduated compression type), of synthetic fibres, knitted or crocheted",NPR,0,0,96,47,96,47,Provisional
202306,6115960900,"Hosiery; women's and girls', of synthetic fibres, knitted or crocheted (excluding graduated compression hosiery, footwear without applied soles, panty hose, tights, full or knee-length hosiery measuring per single yarn less than 67 decitex)",NPR,"1,092",52,"1,293",60,"2,385",112,Provisional
202306,6115961900,"Hosiery; men's and boys', half and three-quarter socks (other than graduated compression type), of synthetic fibres, knitted or crocheted",NPR,"7,066",750,"1,630",110,"8,696",860,Provisional
202306,6115962900,"Hosiery; men's and boys', of synthetic fibres, knitted or crocheted, (excluding half and three-quarter socks, footwear without applied soles or graduated compression hosiery)",NPR,0,0,"2,311",35,"2,311",35,Provisional
202306,6115990210,"Hosiery; footwear without applied soles (other than graduated compression type), of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted",NPR,0,0,64,36,64,36,Provisional
202306,6115991210,"Hosiery; women's and girls', n.e.c. in heading no. 6115, of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted (excluding graduated compression hosiery)",NPR,"19,467","1,219","2,224",456,"21,691","1,675",Provisional
202306,6115992910,"Hosiery; men's and boys', of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, (excluding half and three-quarter socks, footwear without applied soles or graduated compression hosiery)",NPR,0,0,"1,181",48,"1,181",48,Provisional
202306,6116100540,"Gloves; work, of textile materials (other than wool or fine animal hair, cotton or synthetic fibres), knitted or crocheted, laminated with plastics or rubber",NPR,0,0,268,20,268,20,Provisional
202306,6116101010,"Gloves; work, impregnated, coated or covered with plastics or rubber, knitted or crocheted",NPR,"6,755","2,526",831,99,"7,586","2,625",Provisional
