Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201904,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"21,611","1,229",0,0,"21,611","1,229",Final,,,,
201904,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"12,247,672","2,212,714",0,0,"12,247,672","2,212,714",Final,,,,
201904,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"36,646","3,302",0,0,"36,646","3,302",Final,,,,
201904,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"670,710","223,996",0,0,"670,710","223,996",Final,,,,
201904,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,632,660","212,969",0,0,"1,632,660","212,969",Final,,,,
201904,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"1,365,172","836,897",0,0,"1,365,172","836,897",Final,,,,
201904,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"137,126","21,028",0,0,"137,126","21,028",Final,,,,
201904,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"187,869","26,678",0,0,"187,869","26,678",Final,,,,
201904,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"2,509,316","389,776",0,0,"2,509,316","389,776",Final,,,,
201904,206900049,"Offal, edible; of sheep (excluding lamb), hearts, frozen",KGM,"15,112","7,572",0,0,"15,112","7,572",Final,,,,
201904,206900051,"Offal, edible; of sheep (excluding lamb), kidneys, frozen",KGM,"3,736",663,0,0,"3,736",663,Final,,,,
201904,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"400,607","226,955",0,0,"400,607","226,955",Final,,,,
201904,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"37,620","4,849",0,0,"37,620","4,849",Final,,,,
201904,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"539,573","142,259",0,0,"539,573","142,259",Final,,,,
201904,206900091,"Offal, edible; of goats, horses, asses, mules or hinnies, livers, frozen",KGM,"4,627","6,799",0,0,"4,627","6,799",Final,,,,
201904,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"8,593","1,546",0,0,"8,593","1,546",Final,,,,
201904,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"802,628","261,812",0,0,"802,628","261,812",Final,,,,
201904,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"268,296","23,986",0,0,"268,296","23,986",Final,,,,
201904,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"3,663,132","945,679",0,0,"3,663,132","945,679",Final,,,,
201904,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"5,207",625,0,0,"5,207",625,Final,,,,
201904,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"20,937","8,059",0,0,"20,937","8,059",Final,,,,
201904,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"12,436","1,349",0,0,"12,436","1,349",Final,,,,
201904,207440000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, fresh or chilled",KGM,"3,985",270,0,0,"3,985",270,Final,,,,
201904,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"6,378","1,035",0,0,"6,378","1,035",Final,,,,
201904,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"742,881","8,272",0,0,"742,881","8,272",Final,,,,
201904,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"1,741,114","8,261",0,0,"1,741,114","8,261",Final,,,,
201904,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"683,998","39,982",0,0,"683,998","39,982",Final,,,,
201904,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"2,116,089","70,368",0,0,"2,116,089","70,368",Final,,,,
201904,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"17,440,695","1,183,690",0,0,"17,440,695","1,183,690",Final,,,,
201904,208900049,"Meat and edible meat offal; n.e.c. in chapter 02, fresh, chilled or frozen",KGM,"45,120","3,113",0,0,"45,120","3,113",Final,,,,
201904,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"44,031","5,048",0,0,"44,031","5,048",Final,,,,
201904,210190011,"Meat; of swine, pork n.e.c. in heading 0210, salted or pickled",KGM,115,11,0,0,115,11,Final,,,,
201904,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,308,40,0,0,308,40,Final,,,,
201904,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"1,715",12,0,0,"1,715",12,Final,,,,
201904,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"26,696",590,0,0,"26,696",590,Final,,,,
201904,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"328,873","12,050",0,0,"328,873","12,050",Final,,,,
201904,301920000,"Fish; live, eels (anguilla spp.)",KGM,"173,336","10,425",0,0,"173,336","10,425",Final,,,,
201904,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,623,363","273,594",0,0,"5,623,363","273,594",Final,,,,
201904,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"511,301","23,402",0,0,"511,301","23,402",Final,,,,
201904,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"157,031","6,778",0,0,"157,031","6,778",Final,,,,
201904,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"7,609",747,0,0,"7,609",747,Final,,,,
201904,302240015,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), headed and gutted",KGM,106,7,0,0,106,7,Final,,,,
201904,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"81,258","7,821",0,0,"81,258","7,821",Final,,,,
201904,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"2,920",245,0,0,"2,920",245,Final,,,,
201904,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,202,24,0,0,202,24,Final,,,,
201904,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"4,728",478,0,0,"4,728",478,Final,,,,
201904,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"92,692","9,662",0,0,"92,692","9,662",Final,,,,
201904,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"9,312","1,017",0,0,"9,312","1,017",Final,,,,
201904,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,441",368,0,0,"2,441",368,Final,,,,
201904,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"52,854","5,483",0,0,"52,854","5,483",Final,,,,
201904,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"14,861",636,0,0,"14,861",636,Final,,,,
201904,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"19,603","1,908",0,0,"19,603","1,908",Final,,,,
201904,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"1,001,103","71,311",0,0,"1,001,103","71,311",Final,,,,
201904,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,"123,292","11,811",0,0,"123,292","11,811",Final,,,,
201904,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,"1,161",149,0,0,"1,161",149,Final,,,,
201904,302430010,"Fish; fresh or chilled, sardines (Sardina pilchardus, Sardinops spp.), sardinella (Sardinella spp.), brisling or sprats (Sprattus sprattus), whole",KGM,182,21,0,0,182,21,Final,,,,
201904,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"262,899","20,944",0,0,"262,899","20,944",Final,,,,
201904,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,965,110,0,0,965,110,Final,,,,
201904,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,115,9,0,0,115,9,Final,,,,
201904,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"9,533","1,545",0,0,"9,533","1,545",Final,,,,
201904,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"5,801",679,0,0,"5,801",679,Final,,,,
201904,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"4,085",574,0,0,"4,085",574,Final,,,,
201904,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"9,897",741,0,0,"9,897",741,Final,,,,
201904,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"2,695",165,0,0,"2,695",165,Final,,,,
201904,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"8,409",480,0,0,"8,409",480,Final,,,,
201904,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"126,436","14,535",0,0,"126,436","14,535",Final,,,,
201904,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"121,711","17,449",0,0,"121,711","17,449",Final,,,,
201904,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"29,463","2,863",0,0,"29,463","2,863",Final,,,,
201904,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,801,678","268,281",0,0,"2,801,678","268,281",Final,,,,
201904,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"383,604","25,548",0,0,"383,604","25,548",Final,,,,
201904,302891015,"Fish; fresh or chilled, groper, whole",KGM,"361,172","22,502",0,0,"361,172","22,502",Final,,,,
201904,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"21,399","2,454",0,0,"21,399","2,454",Final,,,,
201904,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"217,097","18,745",0,0,"217,097","18,745",Final,,,,
201904,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,428,31,0,0,428,31,Final,,,,
201904,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"6,646",740,0,0,"6,646",740,Final,,,,
201904,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"17,457","1,999",0,0,"17,457","1,999",Final,,,,
201904,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"70,434","9,368",0,0,"70,434","9,368",Final,,,,
201904,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"36,686","3,020",0,0,"36,686","3,020",Final,,,,
201904,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"206,548","17,541",0,0,"206,548","17,541",Final,,,,
201904,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"102,876","8,216",0,0,"102,876","8,216",Final,,,,
201904,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"112,549","8,066",0,0,"112,549","8,066",Final,,,,
201904,302892029,"Fish; fresh or chilled, leatherjacket, headed and gutted",KGM,225,40,0,0,225,40,Final,,,,
201904,302892055,"Fish; fresh or chilled, trevally, headed and gutted",KGM,"19,365","4,269",0,0,"19,365","4,269",Final,,,,
201904,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"131,122","14,231",0,0,"131,122","14,231",Final,,,,
201904,302899011,"Fish; fresh or chilled, bluenose, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"18,664","1,172",0,0,"18,664","1,172",Final,,,,
201904,302899013,"Fish; fresh or chilled, groper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"50,727","4,065",0,0,"50,727","4,065",Final,,,,
201904,302899021,"Fish; fresh or chilled, John Dory, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,263",215,0,0,"2,263",215,Final,,,,
201904,302899033,"Fish; fresh or chilled, tarakihi, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,437,61,0,0,437,61,Final,,,,
201904,302899079,"Fish; fresh or chilled, n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"371,177","40,513",0,0,"371,177","40,513",Final,,,,
201904,302910010,"Fish; fresh or chilled, livers and roes of salmonidae",KGM,693,4,0,0,693,4,Final,,,,
201904,303120015,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), headed and gutted",KGM,"35,821","1,675",0,0,"35,821","1,675",Final,,,,
201904,303120029,"Fish; frozen, Pacific salmon (Oncorhynchus gorbuscha/keta/tschawytscha/ kisutch/masou/rhodurus) other than sockeye salmon (Oncorhynchus nerka), excluding fillets, meat of 0304, and edible fish offal of 0303.9, other than whole or headed and gutted",KGM,"1,917",62,0,0,"1,917",62,Final,,,,
201904,303190039,"Fish; frozen, salmonidae, n.e.c. in item no. 0303.1, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,225,96,0,0,225,96,Final,,,,
201904,303260010,"Fish; frozen, eels (Anguilla spp.), whole",KGM,"55,786","16,660",0,0,"55,786","16,660",Final,,,,
201904,303260029,"Fish; frozen, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"90,714","9,136",0,0,"90,714","9,136",Final,,,,
201904,303290049,"Fish; frozen, Nile perch (Lates niloticus) and snakeheads (Channa spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0303.91 to 0303.99, other than whole or headed and gutted",KGM,"9,640","3,240",0,0,"9,640","3,240",Final,,,,
