Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202304,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,147,464","45,003",0,0,"1,147,464","45,003",Provisional,,,,
202304,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"4,124",393,0,0,"4,124",393,Provisional,,,,
202304,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"8,874","1,260",0,0,"8,874","1,260",Provisional,,,,
202304,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"47,642","4,833",0,0,"47,642","4,833",Provisional,,,,
202304,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,203,24,0,0,203,24,Provisional,,,,
202304,302290021,"Fish; fresh or chilled, New Zealand sole, whole",KGM,"1,544",185,0,0,"1,544",185,Provisional,,,,
202304,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,570,75,0,0,570,75,Provisional,,,,
202304,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,607,53,0,0,607,53,Provisional,,,,
202304,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"32,448","2,323",0,0,"32,448","2,323",Provisional,,,,
202304,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,80,6,0,0,80,6,Provisional,,,,
202304,302320001,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), whole",KGM,"131,153","7,343",0,0,"131,153","7,343",Provisional,,,,
202304,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"8,420",591,0,0,"8,420",591,Provisional,,,,
202304,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"6,128",804,0,0,"6,128",804,Provisional,,,,
202304,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"260,277","11,064",0,0,"260,277","11,064",Provisional,,,,
202304,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"27,452","1,136",0,0,"27,452","1,136",Provisional,,,,
