Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201901,302230029,"Fish; fresh or chilled, sole (Solea spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,162",60,0,0,"1,162",60,Final,,,,
201901,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"7,729",944,0,0,"7,729",944,Final,,,,
201901,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,272,19,0,0,272,19,Final,,,,
201901,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"93,541","9,601",0,0,"93,541","9,601",Final,,,,
201901,302290012,"Fish; fresh or chilled, lemon sole, whole",KGM,"3,392",388,0,0,"3,392",388,Final,,,,
201901,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,"5,365",592,0,0,"5,365",592,Final,,,,
201901,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"9,020","1,243",0,0,"9,020","1,243",Final,,,,
201901,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"182,311","14,494",0,0,"182,311","14,494",Final,,,,
201901,302310001,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), whole",KGM,"11,425","1,343",0,0,"11,425","1,343",Final,,,,
201901,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,433,30,0,0,433,30,Final,,,,
201901,302320029,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,564,72,0,0,564,72,Final,,,,
201901,302330001,"Fish; fresh or chilled, skipjack or stripe-bellied bonito, whole",KGM,129,8,0,0,129,8,Final,,,,
201901,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"7,468",353,0,0,"7,468",353,Final,,,,
201901,302340012,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), headed and gutted",KGM,"67,401","6,369",0,0,"67,401","6,369",Final,,,,
201901,302360012,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), headed and gutted",KGM,"2,691",259,0,0,"2,691",259,Final,,,,
201901,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,61,5,0,0,61,5,Final,,,,
201901,302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,23,3,0,0,23,3,Final,,,,
201901,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"145,909","11,534",0,0,"145,909","11,534",Final,,,,
201901,302490019,"Fish; fresh or chilled, n.e.c. in item no. 0302.4, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"3,707",421,0,0,"3,707",421,Final,,,,
201901,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"10,569","1,785",0,0,"10,569","1,785",Final,,,,
201901,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"10,735",861,0,0,"10,735",861,Final,,,,
201901,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,406,57,0,0,406,57,Final,,,,
201901,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,827,45,0,0,827,45,Final,,,,
201901,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"135,372","15,568",0,0,"135,372","15,568",Final,,,,
201901,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"159,399","22,012",0,0,"159,399","22,012",Final,,,,
201901,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"44,514","5,217",0,0,"44,514","5,217",Final,,,,
201901,302820029,"Fish; fresh or chilled, rays and skates (Rajidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"2,616",455,0,0,"2,616",455,Final,,,,
201901,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"3,022,737","288,187",0,0,"3,022,737","288,187",Final,,,,
201901,302850033,"Fish; fresh or chilled, seabream (Sparidae), snapper, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"6,606","1,080",0,0,"6,606","1,080",Final,,,,
201901,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"581,216","40,527",0,0,"581,216","40,527",Final,,,,
201901,302891015,"Fish; fresh or chilled, groper, whole",KGM,"294,896","19,394",0,0,"294,896","19,394",Final,,,,
201901,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"31,046","3,405",0,0,"31,046","3,405",Final,,,,
201901,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"410,055","37,777",0,0,"410,055","37,777",Final,,,,
201901,302891035,"Fish; fresh or chilled, monkfish, whole",KGM,467,28,0,0,467,28,Final,,,,
