Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
201908,206220000,"Offal, edible; of bovine animals, livers, frozen",KGM,"702,962","509,761",0,0,"702,962","509,761",Final,,,,
201908,206290009,"Offal, edible; of bovine animals, hearts, frozen",KGM,"651,196","222,413",0,0,"651,196","222,413",Final,,,,
201908,206290011,"Offal, edible; of bovine animals, kidneys, frozen",KGM,"173,170","52,305",0,0,"173,170","52,305",Final,,,,
201908,206290019,"Offal, edible; of bovine animals, sweetbreads, frozen",KGM,"6,924","1,398",0,0,"6,924","1,398",Final,,,,
201908,206290029,"Offal, edible; of bovine animals, n.e.c. in item no. 0206.2, frozen",KGM,"7,447,335","1,332,910",0,0,"7,447,335","1,332,910",Final,,,,
201908,206490019,"Offal, edible; of swine, n.e.c. in item no. 0206.4, frozen",KGM,"17,337","6,090",0,0,"17,337","6,090",Final,,,,
201908,206900001,"Offal, edible; of lamb, brains, frozen",KGM,"28,679","2,507",0,0,"28,679","2,507",Final,,,,
201908,206900009,"Offal, edible; of lamb, hearts, frozen",KGM,"335,963","114,688",0,0,"335,963","114,688",Final,,,,
201908,206900011,"Offal, edible; of lamb, kidneys, frozen",KGM,"1,212,680","147,582",0,0,"1,212,680","147,582",Final,,,,
201908,206900019,"Offal, edible; of lamb, livers, frozen",KGM,"479,748","299,414",0,0,"479,748","299,414",Final,,,,
201908,206900021,"Offal, edible; of lamb, sweetbreads, frozen",KGM,"53,687","7,243",0,0,"53,687","7,243",Final,,,,
201908,206900029,"Offal, edible; of lamb, tongues, frozen",KGM,"171,731","25,742",0,0,"171,731","25,742",Final,,,,
201908,206900039,"Offal, edible; of lamb, n.e.c. in item no. 0206.90, frozen",KGM,"1,153,984","168,571",0,0,"1,153,984","168,571",Final,,,,
201908,206900041,"Offal, edible; of sheep (excluding lamb), brains, frozen",KGM,"28,655","2,507",0,0,"28,655","2,507",Final,,,,
201908,206900059,"Offal, edible; of sheep (excluding lamb), livers, frozen",KGM,"303,730","160,682",0,0,"303,730","160,682",Final,,,,
201908,206900069,"Offal, edible; of sheep (excluding lamb), tongues, frozen",KGM,"44,183","6,013",0,0,"44,183","6,013",Final,,,,
201908,206900079,"Offal, edible; of sheep (excluding lamb), n.e.c. in item no. 0206.90, frozen",KGM,"302,951","80,901",0,0,"302,951","80,901",Final,,,,
201908,206900099,"Offal, edible; of goats, horses, asses, mules or hinnies, n.e.c. in item no. 0206.90, frozen",KGM,"5,833","1,734",0,0,"5,833","1,734",Final,,,,
201908,207110000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, fresh or chilled",KGM,"14,142","1,986",0,0,"14,142","1,986",Final,,,,
201908,207120000,"Meat and edible offal; of fowls of the species Gallus domesticus, not cut in pieces, frozen",KGM,"815,561","263,866",0,0,"815,561","263,866",Final,,,,
201908,207130000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, fresh or chilled",KGM,"378,265","36,122",0,0,"378,265","36,122",Final,,,,
201908,207149000,"Meat and edible offal; of fowls of the species Gallus domesticus, cuts and offal, frozen, excluding livers",KGM,"4,715,411","1,299,464",0,0,"4,715,411","1,299,464",Final,,,,
201908,207250000,"Meat and edible offal; of turkeys, not cut in pieces, frozen",KGM,"8,169","2,525",0,0,"8,169","2,525",Final,,,,
201908,207279000,"Meat and edible offal; of turkeys, cuts and offal, frozen, excluding livers",KGM,"21,058","8,143",0,0,"21,058","8,143",Final,,,,
201908,207420010,"Meat and edible offal; of ducks, not cut in pieces, frozen",KGM,"9,789",320,0,0,"9,789",320,Final,,,,
201908,207459000,"Meat and edible offal; of ducks, cuts and offal, excluding fatty livers, frozen, excluding livers",KGM,"13,915",756,0,0,"13,915",756,Final,,,,
201908,207609010,"Meat and edible offal; of guinea fowls, not cut in pieces, excluding fatty livers, fresh or chilled",KGM,46,1,0,0,46,1,Final,,,,
201908,208900011,"Meat and edible meat offal; of deer, fresh, chilled or frozen, pizzles",KGM,"395,022","5,893",0,0,"395,022","5,893",Final,,,,
201908,208900013,"Meat and edible meat offal; of deer, fresh, chilled or frozen, tails",KGM,"935,131","4,052",0,0,"935,131","4,052",Final,,,,
201908,208900015,"Meat and edible meat offal; of deer, fresh, chilled or frozen, offal (excluding pizzles or tails)",KGM,"68,441","5,376",0,0,"68,441","5,376",Final,,,,
201908,208900017,"Edible meat; other than offal, of deer, venison, chilled",KGM,"2,192,662","82,777",0,0,"2,192,662","82,777",Final,,,,
201908,208900018,"Edible meat; other than offal, of deer, venison, frozen",KGM,"7,407,993","526,907",0,0,"7,407,993","526,907",Final,,,,
201908,210120000,"Meat; of swine, bellies (streaky) and cuts thereof, salted, in brine, dried or smoked",KGM,"3,601",435,0,0,"3,601",435,Final,,,,
201908,210190001,"Meat; of swine, bacon, salted, in brine, dried or smoked",KGM,"85,099","7,492",0,0,"85,099","7,492",Final,,,,
201908,210190019,"Meat; of swine, n.e.c. in heading 0210, smoked",KGM,356,2,0,0,356,2,Final,,,,
201908,210190029,"Meat; of swine, n.e.c. in heading 0210, dried",KGM,"14,731","2,714",0,0,"14,731","2,714",Final,,,,
201908,210200000,"Meat; of bovine animals, salted, in brine, dried or smoked",KGM,"20,819",405,0,0,"20,819",405,Final,,,,
201908,210993049,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"1,038,077","4,084",0,0,"1,038,077","4,084",Final,,,,
201908,301920000,"Fish; live, eels (anguilla spp.)",KGM,"110,878","6,625",0,0,"110,878","6,625",Final,,,,
201908,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"5,402,424","243,971",0,0,"5,402,424","243,971",Final,,,,
201908,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"484,108","23,312",0,0,"484,108","23,312",Final,,,,
201908,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"944,129","51,520",0,0,"944,129","51,520",Final,,,,
201908,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"16,344","1,960",0,0,"16,344","1,960",Final,,,,
201908,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"14,708","2,080",0,0,"14,708","2,080",Final,,,,
