Month,Harmonised System Code,Harmonised System Description,Unit Qty,Exports ($NZD fob),Exports Qty,Re-exports ($NZD fob),Re-exports Qty,Total Exports ($NZD fob),Total Exports Qty,Status,,,,
202203,210993029,"Meat and edible meat offal; of deer, venison, salted, in brine, dried or smoked",KGM,"1,148",14,0,0,"1,148",14,Final,,,,
202203,210993050,"Meat and edible meat offal; salted, in brine, dried or smoked, and edible flours and meals of meat or meat offal, n.e.c. in heading 0210",KGM,"988,357","13,064",0,0,"988,357","13,064",Final,,,,
202203,301910009,"Fish; live, trout, (oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chrysogaster), n.e.c. in item no. 0301.91.00.01",KGM,"19,500",701,0,0,"19,500",701,Final,,,,
202203,301920000,"Fish; live, eels (anguilla spp.)",KGM,"52,427","3,840",0,0,"52,427","3,840",Final,,,,
202203,302130010,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), whole",KGM,"6,167,020","307,221",0,0,"6,167,020","307,221",Final,,,,
202203,302130015,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), headed and gutted",KGM,"390,901","29,420",0,0,"390,901","29,420",Final,,,,
202203,302130029,"Fish; fresh or chilled, Pacific salmon (Oncorhynchus nerka/gorbuscha/keta/tschawytscha/kisutch/masou/rhodurus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"1,802,181","92,151",0,0,"1,802,181","92,151",Final,,,,
202203,302240010,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), whole",KGM,"9,199",932,0,0,"9,199",932,Final,,,,
202203,302240015,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), headed and gutted",KGM,358,37,0,0,358,37,Final,,,,
202203,302240029,"Fish; fresh or chilled, turbots (Psetta maxima, Scophthalmidae), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,619,92,0,0,619,92,Final,,,,
202203,302290002,"Fish; fresh or chilled, flounder, whole",KGM,"121,700","9,438",0,0,"121,700","9,438",Final,,,,
202203,302290028,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, whole",KGM,285,36,0,0,285,36,Final,,,,
202203,302290031,"Fish; fresh or chilled, flounder, headed and gutted",KGM,"2,111",194,0,0,"2,111",194,Final,,,,
202203,302290063,"Fish; fresh or chilled, flounder, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"53,526","2,413",0,0,"53,526","2,413",Final,,,,
202203,302290097,"Fish; fresh or chilled, flat fish n.e.c. in heading 0302, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"13,508","1,113",0,0,"13,508","1,113",Final,,,,
202203,302310011,"Fish; fresh or chilled, albacore or longfinned tunas (Thunnus alalunga), headed and gutted",KGM,"6,409",548,0,0,"6,409",548,Final,,,,
202203,302320001,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), whole",KGM,"7,251",380,0,0,"7,251",380,Final,,,,
202203,302320011,"Fish; fresh or chilled, yellowfin tunas (Thunnus albacares), headed and gutted",KGM,"4,030",245,0,0,"4,030",245,Final,,,,
202203,302340010,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), whole",KGM,"10,699",488,0,0,"10,699",488,Final,,,,
202203,302340029,"Fish; fresh or chilled, bigeye tunas (Thunnus obesus), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"23,055","2,403",0,0,"23,055","2,403",Final,,,,
202203,302350033,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), whole",KGM,"27,115","3,270",0,0,"27,115","3,270",Final,,,,
202203,302350035,"Fish; fresh or chilled, Pacific bluefin tunas (Thunnus orientalis), headed and gutted",KGM,"1,359",167,0,0,"1,359",167,Final,,,,
202203,302360010,"Fish; fresh or chilled, southern bluefin tunas (Thunnus maccoyii), whole",KGM,"634,947","77,364",0,0,"634,947","77,364",Final,,,,
202203,302390007,"Fish; fresh or chilled, tuna, n.e.c. in item no. 0302.3, whole",KGM,504,47,0,0,504,47,Final,,,,
202203,302440010,"Fish; fresh or chilled, mackerel (Scomber scombrus, Scomber australasicus, Scomber japonicus), whole",KGM,"1,150",113,0,0,"1,150",113,Final,,,,
202203,302470015,"Fish; fresh or chilled, swordfish (Xiphias gladius), headed and gutted",KGM,"126,009","10,303",0,0,"126,009","10,303",Final,,,,
202203,302510010,"Fish; fresh or chilled, cod (Gadus morhua, Gadus ogac, Gadus macrocephalus), whole",KGM,"53,801","2,918",0,0,"53,801","2,918",Final,,,,
202203,302540015,"Fish; fresh or chilled, hake (Merluccius spp., Urophycis spp.), headed and gutted",KGM,"8,941","1,484",0,0,"8,941","1,484",Final,,,,
202203,302590010,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, whole",KGM,"10,790",619,0,0,"10,790",619,Final,,,,
202203,302590015,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, headed and gutted",KGM,"6,469",562,0,0,"6,469",562,Final,,,,
202203,302590029,"Fish; fresh or chilled, n.e.c. in item no. 0302.5, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"10,831",691,0,0,"10,831",691,Final,,,,
202203,302740010,"Fish; fresh or chilled, eels (Anguilla spp.), whole",KGM,"2,211",135,0,0,"2,211",135,Final,,,,
202203,302740015,"Fish; fresh or chilled, eels (Anguilla spp.), headed and gutted",KGM,372,55,0,0,372,55,Final,,,,
202203,302740029,"Fish; fresh or chilled, eels (Anguilla spp.), excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"9,952",435,0,0,"9,952",435,Final,,,,
202203,302810010,"Fish; fresh or chilled, dogfish and other sharks, whole",KGM,"285,291","25,735",0,0,"285,291","25,735",Final,,,,
202203,302810015,"Fish; fresh or chilled, dogfish and other sharks, headed and gutted",KGM,"183,809","20,450",0,0,"183,809","20,450",Final,,,,
202203,302810029,"Fish; fresh or chilled, dogfish and other sharks, excluding fillets, fish meat of 0304, and edible fish offal of subheadings 0302.91 to 0302.99, other than whole or headed and gutted",KGM,"199,143","22,453",0,0,"199,143","22,453",Final,,,,
202203,302850010,"Fish; fresh or chilled, seabream (Sparidae), snapper, whole",KGM,"2,594,057","228,100",0,0,"2,594,057","228,100",Final,,,,
202203,302850019,"Fish; fresh or chilled, seabream (Sparidae), other than snapper, whole",KGM,"33,476","2,582",0,0,"33,476","2,582",Final,,,,
202203,302891010,"Fish; fresh or chilled, bluenose, whole",KGM,"281,425","18,554",0,0,"281,425","18,554",Final,,,,
202203,302891015,"Fish; fresh or chilled, groper, whole",KGM,"413,838","26,428",0,0,"413,838","26,428",Final,,,,
202203,302891019,"Fish; fresh or chilled, gurnard, whole",KGM,"16,043","1,737",0,0,"16,043","1,737",Final,,,,
202203,302891025,"Fish; fresh or chilled, John Dory, whole",KGM,"308,669","25,945",0,0,"308,669","25,945",Final,,,,
202203,302891039,"Fish; fresh or chilled, mullet, whole",KGM,"5,364",482,0,0,"5,364",482,Final,,,,
202203,302891049,"Fish; fresh or chilled, tarakihi, whole",KGM,"16,059","1,806",0,0,"16,059","1,806",Final,,,,
202203,302891055,"Fish; fresh or chilled, trevally, whole",KGM,"118,850","14,656",0,0,"118,850","14,656",Final,,,,
202203,302891065,"Fish; fresh or chilled, yellowtail kingfish, whole",KGM,"36,734","2,651",0,0,"36,734","2,651",Final,,,,
202203,302891079,"Fish; fresh or chilled, n.e.c. in heading 0302, whole",KGM,"211,880","17,910",0,0,"211,880","17,910",Final,,,,
202203,302892010,"Fish; fresh or chilled, bluenose, headed and gutted",KGM,"10,133",660,0,0,"10,133",660,Final,,,,
202203,302892015,"Fish; fresh or chilled, groper, headed and gutted",KGM,"8,656",691,0,0,"8,656",691,Final,,,,
202203,302892059,"Fish; fresh or chilled, yellowtail kingfish, headed and gutted",KGM,"2,304",117,0,0,"2,304",117,Final,,,,
202203,302892079,"Fish; fresh or chilled, n.e.c. in heading 0302, headed and gutted",KGM,"96,661","8,627",0,0,"96,661","8,627",Final,,,,
